"FileName"	"SizeMB"	"LocalPath"	"VisibleInGitHubApi"	"CandidateToMove"	"TargetPathInGrins2"	"TargetAlreadyExists"	"LastWriteTime"
"buddha grin flower front ORIGINAL.jpg"	"0.284"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\buddha grin flower front ORIGINAL.jpg"	"False"	"True"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\buddha grin flower front ORIGINAL.jpg"	"False"	"2026-05-24 18:18:59"
"buddha grin flower ORIGINAL.jpg"	"0.241"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\buddha grin flower ORIGINAL.jpg"	"False"	"True"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\buddha grin flower ORIGINAL.jpg"	"False"	"2026-05-24 18:18:59"
"buddha grin flower side ORIGINAL.jpg"	"0.227"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\buddha grin flower side ORIGINAL.jpg"	"False"	"True"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\buddha grin flower side ORIGINAL.jpg"	"False"	"2026-05-24 18:19:00"
"chico roco back variation B&W.jpg"	"0.14"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\chico roco back variation B&W.jpg"	"False"	"True"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\chico roco back variation B&W.jpg"	"False"	"2026-05-07 15:55:17"
"david grin 2 ORIGINAL.jpg"	"0.14"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\david grin 2 ORIGINAL.jpg"	"False"	"True"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\david grin 2 ORIGINAL.jpg"	"False"	"2026-05-24 18:19:02"
"flying flower grin back ORIGINAL.jpg"	"0.109"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\flying flower grin back ORIGINAL.jpg"	"False"	"True"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\flying flower grin back ORIGINAL.jpg"	"False"	"2026-05-24 18:19:03"
"flying flower grin front ORIGINAL.jpg"	"0.153"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\flying flower grin front ORIGINAL.jpg"	"False"	"True"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\flying flower grin front ORIGINAL.jpg"	"False"	"2026-05-24 18:19:05"
"flying flower grin side ORIGINAL.jpg"	"0.142"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\flying flower grin side ORIGINAL.jpg"	"False"	"True"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\flying flower grin side ORIGINAL.jpg"	"False"	"2026-05-24 18:19:06"
"grinne side view color.jpg"	"0.026"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\grinne side view color.jpg"	"False"	"True"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\grinne side view color.jpg"	"False"	"2026-05-07 09:37:31"
"grinnie back color.jpg"	"0.016"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\grinnie back color.jpg"	"False"	"True"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\grinnie back color.jpg"	"False"	"2026-05-07 09:37:46"
"grinnie front view color.jpg"	"0.032"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\grinnie front view color.jpg"	"False"	"True"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\grinnie front view color.jpg"	"False"	"2026-05-07 09:37:14"
"grinnies grin face animation.jpg"	"0.176"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\grinnies grin face animation.jpg"	"False"	"True"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\grinnies grin face animation.jpg"	"False"	"2026-05-07 17:50:51"
"marilyn flower grin ORIGINAL.jpg"	"0.198"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\marilyn flower grin ORIGINAL.jpg"	"False"	"True"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\marilyn flower grin ORIGINAL.jpg"	"False"	"2026-05-24 18:19:06"
"no and yes ORIGINAL.jpg"	"0.353"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\no and yes ORIGINAL.jpg"	"False"	"True"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\no and yes ORIGINAL.jpg"	"False"	"2026-05-24 18:19:07"
"pinnochio grin right side - Trace girl - colored by susan - png.jpg"	"0.142"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\pinnochio grin right side - Trace girl - colored by susan - png.jpg"	"False"	"True"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\pinnochio grin right side - Trace girl - colored by susan - png.jpg"	"False"	"2026-05-07 18:58:01"
"pinnochio grin three quarters - Trace girl - colored by susan - png.jpg"	"0.123"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\pinnochio grin three quarters - Trace girl - colored by susan - png.jpg"	"False"	"True"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\pinnochio grin three quarters - Trace girl - colored by susan - png.jpg"	"False"	"2026-05-07 18:38:40"
"pinocchio grin left side - B&W - Trace girl.jpg"	"0.47"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\pinocchio grin left side - B&W - Trace girl.jpg"	"False"	"True"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\pinocchio grin left side - B&W - Trace girl.jpg"	"False"	"2026-05-08 06:52:45"
"Rabbbit with Fangs side ORIGINAL.jpg"	"0.077"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\Rabbbit with Fangs side ORIGINAL.jpg"	"False"	"True"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\Rabbbit with Fangs side ORIGINAL.jpg"	"False"	"2026-05-07 18:38:39"
"Rabbit Grin 2 B&W.jpg"	"0.42"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\Rabbit Grin 2 B&W.jpg"	"False"	"True"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\Rabbit Grin 2 B&W.jpg"	"False"	"2026-05-08 06:53:03"
"Rabbit Grin 2 COLOR.jpg"	"0.139"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\Rabbit Grin 2 COLOR.jpg"	"False"	"True"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\Rabbit Grin 2 COLOR.jpg"	"False"	"2026-05-07 18:38:40"
"Rabbit Grin 2 ORIGINAL.jpg"	"0.167"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\Rabbit Grin 2 ORIGINAL.jpg"	"False"	"True"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\Rabbit Grin 2 ORIGINAL.jpg"	"False"	"2026-05-08 05:37:11"
"Rabbit Grin B&W.jpg"	"0.338"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\Rabbit Grin B&W.jpg"	"False"	"True"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\Rabbit Grin B&W.jpg"	"False"	"2026-05-08 06:36:59"
"Rabbit Grin COLOR.jpg"	"0.288"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\Rabbit Grin COLOR.jpg"	"False"	"True"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\Rabbit Grin COLOR.jpg"	"False"	"2026-05-08 06:36:52"
"Rabbit Grin ORIGINAL.jpg"	"0.256"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\Rabbit Grin ORIGINAL.jpg"	"False"	"True"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\Rabbit Grin ORIGINAL.jpg"	"False"	"2026-05-07 18:38:40"
