"MoveOrder"	"FileName"	"SizeMB"	"SourcePath"	"TargetPath"	"ReferenceCount"	"TargetExists"
"1"	"Rabbbit Grin ORIGINAL COLOR.jpg"	"0.333"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\Rabbbit Grin ORIGINAL COLOR.jpg"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\Rabbbit Grin ORIGINAL COLOR.jpg"	"2"	"False"
"2"	"Rabbbit Grin ORIGINAL.jpg"	"0.333"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\Rabbbit Grin ORIGINAL.jpg"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\Rabbbit Grin ORIGINAL.jpg"	"2"	"False"
"3"	"Rabbbit Grin version 2 back B&W.jpg"	"0.276"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\Rabbbit Grin version 2 back B&W.jpg"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\Rabbbit Grin version 2 back B&W.jpg"	"2"	"False"
"4"	"Rabbbit Grin version 2 back COLOR.jpg"	"0.372"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\Rabbbit Grin version 2 back COLOR.jpg"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\Rabbbit Grin version 2 back COLOR.jpg"	"2"	"False"
"5"	"Rabbbit Grin version 2 back ORIGINAL.jpg"	"0.07"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\Rabbbit Grin version 2 back ORIGINAL.jpg"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\Rabbbit Grin version 2 back ORIGINAL.jpg"	"2"	"False"
"6"	"Rabbbit Grin version 2 front B&W.jpg"	"0.118"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\Rabbbit Grin version 2 front B&W.jpg"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\Rabbbit Grin version 2 front B&W.jpg"	"2"	"False"
"7"	"Rabbbit Grin version 2 front COLOR.jpg"	"0.16"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\Rabbbit Grin version 2 front COLOR.jpg"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\Rabbbit Grin version 2 front COLOR.jpg"	"2"	"False"
"8"	"Rabbbit Grin version 2 front ORIGINAL.jpg"	"0.157"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\Rabbbit Grin version 2 front ORIGINAL.jpg"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\Rabbbit Grin version 2 front ORIGINAL.jpg"	"2"	"False"
"9"	"Rabbbit Grin version 2 three quarters B&W.jpg"	"0.358"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\Rabbbit Grin version 2 three quarters B&W.jpg"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\Rabbbit Grin version 2 three quarters B&W.jpg"	"2"	"False"
"10"	"Rabbbit Grin version 2 three quarters COLOR.jpg"	"0.151"	"D:\github\ron-english-sketches-grins\images\Sketches\grins\Rabbbit Grin version 2 three quarters COLOR.jpg"	"D:\github\ron-english-sketches-grins\images\Sketches\grins2\Rabbbit Grin version 2 three quarters COLOR.jpg"	"2"	"False"
